Car Name,Price
هيونداي النترا موديل 2012 ايرباجات واى بى أس فابريكة بالكامل,"EGP 385,000"
فورد فوكس ٢٠١٤ لقطه للبيع,"EGP 365,000"
افنجارد E200 موديل ٢٠١٤ فابريكا,"EGP 1,600,000"
SEAT IBIZA 23.000 km,"EGP 600,000"
cla 200 Amg 2022 zero,"EGP 2,100,000"
Mg5 luxury 2022 top line like new 2.5 years licence,"EGP 555,000"
اوبل استرا 2016 لون ازرق بترولي,"EGP 425,000"
Nissan Sunny 2021 Top line-نيسان صني ٢٠٢١ اعلي فئه,"EGP 415,000"
كسر زيرو عداد 10000 هايلاين رخصة سنتين وثلاث شهور مرور القاهرة,"EGP 685,000"
"Renult- kadjar_2019, panorama","EGP 630,000"
HYNDAI TUCSON 2020 PLUS فبريكة بالكامل,"EGP 970,000"
Kia Sportage 2023 Highline,"EGP 1,600,000"
رينو ميجان 4,"EGP 680,000"
MG ZS كسر زيرو فبريكا بالكامل,"EGP 485,000"
كورولا 2020 الثالثة سمارت بصمة,"EGP 750,000"
شيفروليه سونيك 2012,"EGP 220,000"
Jole trillo car seat,"EGP 2,500"
لاند روفر فيلار وكيل  موديل 2021,"EGP 3,450,000"
لوجان اوتوماتيك فابريكه صيانه وكيل,"EGP 375,000"
دايو لانوس,"EGP 115,000"
مطلوب عربية اوتوماتيك هاتشباك ف اسكندرية,"EGP 250,000"
ID4 X PUREPLUS,"EGP 1,400,000"
BMW Z4 2022 20I,"EGP 3,300,000"
Citroën C5 live الفرنسيه القوه والرفاهيه فى سياره واحده,"EGP 350,000"
Skoda octavia A8,"EGP 375,000"
امجراند ٧ مو ٢٠١٥ فبريكه دواخل,"EGP 145,000"
باندينو كاملة مانيوال 2015,"EGP 135,000"
كابوت ٢٠١٦,"EGP 4,000"
"بيع او بدل شيفروليه n300 زيرو لم تستخدم
موديل 2023 فاتورة","EGP 365,000"
BMW 318 luxury فابريكا بالكامل فقط 70 الف كم,"EGP 980,000"
دينامو سكودا اوكتافيا,"EGP 3,000"
لانسر ٢٠٠٨ بحاله ممتازه,"EGP 220,000"
قلب طلمبه بنزين تايواني,EGP 300
كيا سيراتو,"EGP 499,000"
كيا سيراتو 2014,"EGP 20,000"
فولفو,"EGP 550,000"
٢٠٠٥ فبريكه بالكامل جوه وبره سقف وشنطه وكبوت,"EGP 132,000"
Jeep Renegade,"EGP 300,000"
دايو لانوس ٢٠٠٨ بحالة الفبريكة,"EGP 150,000"
هونداي اي 10 موديل 2009 مانوال فابريكا بالكامل رخصه ثلاث سنين,"EGP 188,000"
شيفروليه نيو اوبترا ٢٠١٩ فبريكة بالكامل,"EGP 335,000"
عربية أوبل أسترا ٢٠٠٩ حالتها روعة,"EGP 220,000"
بيع سيارة بيجو موديل ١٩٧٩,"EGP 35,000"
نيسان صني,"EGP 365,000"
طنابير نيسان اكس تريل,"EGP 3,000"
فابريكه و تم تغير الموتور لسيستيم ١٨٠٠ cc و الرخصه ساريه حتي ٥-٢٠٢٣,"EGP 250,000"
سيارة ١٣٢ ربنا يبارك لصاحب النصيب,"EGP 42,000"
سوبيرب الاكثر رفاهيه,"EGP 480,000"
لانسر شارك ٢٠١٥ فبريكه,"EGP 440,000"
n17 2018,"EGP 259,000"
Range Rover velar 2022 R dynamic,"EGP 800,000"
PORSCHE CAYENNE S 2022 PLATINUM,"EGP 2,000,000"
porsche carrera 911 2022,"EGP 1,500,000"
Velar Black - SE P250,"EGP 3,900,000"
Carrera 911,"EGP 2,000,000"
Mercedes Benz Cla 200 2023 Special Color,"EGP 1,000,000"
skoda kodiq 2022 top line,"EGP 600,000"
C200 Amg 2022,"EGP 1,200,000"
BMW 330I M 2023 Brand New,"EGP 1,000,000"
Mercedes benz Cla 200 2023,"EGP 600,000"
كيا سيراتو كوبيه موديل  ٢٠١٠ فابريكة من الداخل والخارج,"EGP 395,000"
نيسان سنترا ٢٠٢٣ كسر الزيرو,"EGP 645,000"
نيسان صني ٢٠١٤ حالة ممتازة,"EGP 270,000"
جراند شيروكي ٢٠١٨ حالة ممتازة,"EGP 1,750,000"
kia rio 2013 هاتشباك,"EGP 350,000"
جيلي CK للبيع,"EGP 88,000"
أودي A4 اعلي فئه لون ابيض فابريكا بالكامل موديل 2018,"EGP 1,330,000"
مفتاح فتحة سقف رينو ميجان وسينيك,EGP 175
سيارة هيونداي اكسيل موديل 1997,"EGP 63,000"
اسبرنزا شيري انفي,"EGP 165,000"
bmw e36,"EGP 285,000"
مطلوب سيارة للايجار,"EGP 3,000"
حساس كرنك دايو لانوس وفانوس صالون,EGP 15
مسامير جنط حديد اصلى رينو ٢٠١٣,EGP 400
كيا سبورتاج كامله مفتاح,"EGP 860,000"
سكودا اوكتافيا A7,"EGP 510,000"
نيسان 2014 ماشيه 100 الف كيلو,"EGP 199,000"
رينو لوجان موديل ٢٠٢٠ بلاك ايديشن الفئه الرابعه,"EGP 375,000"
سوزوكي اسبريسو ٢٠٢٢ رخصت ولم تستخدم بالاكياس زيرووووووو,"EGP 300,000"
Mercedes Benz - C 180 AMG - 2022,"EGP 2,750,000"
MG rx5 كسر زيرووووووو,"EGP 725,000"
Audi Q2 S line,"EGP 1,580,000"
اوبترا ٢٠١٤ فبريكه بالكاااااااامل,"EGP 315,000"
Kia Xceed 2022,"EGP 935,000"
سياره فولكس واجن كادي موديل ٢٠٠٨  صندوق ٤ سلندر  حموله ا طن,"EGP 140,000"
سنترا 2021 فابريكة بالكامل,"EGP 525,000"
لانسر شارك ٢٠١٦ خليجي فابريقة حاله ممتازه رخصه سنتين بأسمي,"EGP 450,000"
Mercedes CLS 350 One With this features in egypt special edition car,"EGP 2,435,000"
سيتروين C5 أول فئة أوتوماتيك 2020للبيع,"EGP 780,000"
فيات تيبو مانيوال فبريكا بالكامل 2020 للبيع,"EGP 360,000"
Tiggo3 2019,"EGP 375,000"
2006 BMW 116i  HIGHLINE,"EGP 310,000"
94 اول يد من الزيرو رخصة بااسمى سنة,"EGP 105,000"
Fiat tipo فيات تيبو 2021,"EGP 570,000"
للبيع 128,"EGP 28,000"
نيو اوبترا 2018 توب لاين بمقدم 90000وقسط الباقي بأقل فائده,"EGP 115,000"
بيجو 206 كاملة 2005 1200cc هاتشباك يد واحدة من الزيرو,"EGP 150,000"
فاونيس النترا خالفي و أمامي,"EGP 8,500"
نيو اكسنت اتوماتيك موديل 2010 فبريكا بالكامل للبيع,"EGP 260,000"
بيع مرسيدس,"EGP 215,000"
هيونداى افانتى حالة ممتازة,"EGP 255,000"
ايجار سيارات Syv توسان وكيا سبورتاج,EGP 850
سكودا سوبرب 2018 أعلى فئه فابريكه من الاكصدام للاكصدام,"EGP 965,000"
BMW X1 2014,"EGP 725,000"
fiat 127 super fura mod87,"EGP 30,000"
ام جي Mg 5 ٢٠٢٢ كمفورت بمقدم ٩٥٠٠٠ كسر زيرو,"EGP 465,000"
KIA sportage 2022 Topline - كيا سبورتاج توب لاين,"EGP 1,200,000"
فيات جراند بونتو فبريكة,"EGP 210,000"
Mercedes Benz E200 AMG 2022 - مرسيدس اي ٢٠٠ ٢٠٢٢,"EGP 990,000"
للبيع كتاوت طرمبة بنزين باسات ٢٠١١,"EGP 2,000"
كاسيت اصلي تويوتا كورولا 2021,"EGP 12,000"
ديماكس ٢٠١٥ فبريكهً,"EGP 410,000"
لانسر بومه خليجي 2013,"EGP 340,000"
BMW-X1 ( face left ) S drive حاله ممتازه,"EGP 610,000"
اوبل جراند لاند,"EGP 750,000"
طلمبه مياه كوري اصلي بالكرتونه لياره فرنا,EGP 500
نيسان صنى اوتوماتيك,"EGP 257,000"
MB E2OO 2021,"EGP 3,500,000"
جيب رينجيد 2021 توب لاين 1400CC Turbo,"EGP 1,050,000"
فوانيس زينون اورجينال,"EGP 5,000"
نيسان صنى ٢٠١٩ اوتوماتيك رشه برا وملحوظه,"EGP 250,000"
كرسي سيارة استعمال خفيف,"EGP 1,800"
مرسيدس c180 موديل ٢٠١٢,"EGP 800,000"
موتور b150   b160,"EGP 20,000"
٤ ابواب سباره لانشيا كامله فابريكا + كمبيوتر اعطال وارد الخارج,"EGP 11,000"
سبورتاج ٢٠١٧ تاني فئه,"EGP 750,000"
كرسي سياره,EGP 700
النترا CN7  موديل 2022 الفئة الخامسة 1600CC,"EGP 850,000"
النترا 2019AD elantra,"EGP 530,000"
كورولا ٢٠٢٠ تاني فئه,"EGP 725,000"
فرش باب باسات ٢٠١٢,"EGP 1,500"
ادهم المنشاوى,"EGP 155,000"
Opel insignia 2014 بصمه فبريكا بالكامل,"EGP 450,000"
كيا سبورتاج ٢٠١٩ Kia Sportage 2019,"EGP 840,000"
Skoda A8 سكودا اوكتافيا,"EGP 950,000"
جيب شيروكي للبيع,"EGP 200,000"
معروض للبيع,"EGP 120,000"
سيارة للبيع,"EGP 2,150,000"
فيرنا فبريكا عدا حزام نظافه رخصه سنه بحاله الزيرو لا تحتاج مصروف نهائي,"EGP 227,000"
الينترا HD 2020حالة الزيرو الفئه التانيه,"EGP 405,000"
الينترا 2008 الجمل فابريكه بالكامل,"EGP 310,000"
فيات تيبو مانوال  للبيع P2,"EGP 350,000"
volkswagen tiguan,"EGP 1,100,000"
Mitsubish Lanser 2015,"EGP 420,000"
BMW M850 Coupe,"EGP 5,500,000"
هيونداي جراند Hyundai Grand i10,"EGP 310,000"
هيونداي Hyundai ix35,"EGP 548,000"
نيسان صني ٢٠٢٢,"EGP 470,000"
رينو ميجان Renault Megan 2019 E2,"EGP 488,000"
بروتون جين ٢ مانوال ٢٠٠٨ حالة نضيفة جداً مش محتاجة اى مصاريف,"EGP 200,000"
شيري انفي 2017,"EGP 130,000"
bmw x3 سياره بي ام دبليو x3 للبيع,"EGP 1,100,000"
BMW 520,"EGP 950,000"
للبيع بي ام دبليو x3,"EGP 1,080,000"
نيسان صني 2021 الفئه الثانيه بدهان المصنع بالكامل من الخارج والداخل,"EGP 395,000"
بيجو 2008 اكتيف ليد فبريكه بالكامل,"EGP 780,000"
بضمان العربيه,"EGP 430,000"
اوبترا ٢٠١٨,"EGP 275,000"
صني الشكل الجديد حالة ممتازة,"EGP 275,000"
عربيه سكودا كودياك جديده للبيع 2023 سبورت لاين 1500cc   مواصفات اوربيه,"EGP 1,900,000"
Mercedes  S500 2022 amg,"EGP 10,000,000"
Mercedes C200 AMG,"EGP 2,700,000"
كيا سبورتاج 2018 توب لاين,"EGP 835,000"
سيتروين C4 اعلى فئة موديل 2022,"EGP 1,050,000"
سكودا اوكتافيا موديل 2015 فابريكا بالكامل بره وجوه كاش او تقسيط,"EGP 665,000"
قنطرة رداتير دايو لانوس,EGP 950
سوزوكي سويفت رخصت  ولم تستعمل,"EGP 445,000"
مطلوب عداد بيجو 504 كامل ويكون اصلى,EGP 500
MG zs 2022 كالزيرو تماما,"EGP 660,000"
فنوس سياره شيفروليه افيو مستعمل ولكنه بحاله ممتازه,EGP 600
كيا كارينز جميع الكماليات اتوماتيك موديل اخر 2012 للبيع,"EGP 385,000"
فانوس خلفي فانتازيا اوريجنال,"EGP 2,400"
هيونداي فيرنا 2008 كامله مانويل فابريكة بالكامل,"EGP 179,000"
opel astra hatchback,"EGP 320,000"
بيجو  508موديل 2022  allure back,"EGP 1,150,000"
رينو فلوانس 2017,"EGP 400,000"
فيرنا ٢٠١٧ اوتوماتيك فابريكا بالكامل,"EGP 280,000"
للبيع حجز BMW X1  استلام  قريب,"EGP 550,000"
وش سلندر دايو لانوس بالمنافول,"EGP 3,500"
ه 4باب وشنطه,"EGP 12,500"
شانجان اعلي فئه اوتوماتيك ٢٠١٥,"EGP 265,000"
قطمة استيراد من بورسعيد وكمان وش فانوس خلفى وكمان تيش للعفشة امامى,"EGP 1,000"
شاهين موديل 1996,"EGP 60,000"
Bmw 430i msport 2023,"EGP 3,500,000"
ماتريكس  لافيتا فبريكه,"EGP 258,000"
نيسان قشقاي ٢٠١٦,"EGP 500,000"
Tiggo 2019/تيجو 2019,"EGP 410,000"
رانج روفر فيلار ٢٠١٨,"EGP 2,799,999"
Porsche macan 2022,"EGP 3,900,000"
باسات استلام فوري موديل 2023,"EGP 350,000"
سيارات,"EGP 520,000"
فانوس كبس,EGP 300
السياره فبريكه بالكامل موديل ٢٠٢١ ماشيه ٢٦،٦٠٠  كيلوا,"EGP 560,000"
اول مالك نيسان صنى 2020,"EGP 295,000"
امبير حرارة خارجي,EGP 250
فرش ابواب اوبل فيكترا بي,EGP 500
هيونداي هاي اكس 35,"EGP 615,000"
18 قطعه ادوات ازاله او نزع الكابلات الكهلابائيه للسيارات,EGP 200
cooper s r56 S,"EGP 350,000"
شيري اريزو5 فبريكا بلكامل ٢٠٢١ تاني فئه,"EGP 320,000"
استرا كوزمو اعلي فئه فابريكا بالكامل astra cosmo all fabric,"EGP 395,000"
Audi A5 40 TFSI sportback s Line 11500 k. m only,"EGP 2,050,000"
هيونداي توسان,"EGP 1,100,000"
mazda 3 2017,"EGP 480,000"
مرسيدسc180مو2019 فابريقه بالكامل,"EGP 1,700,000"
HYNDAI TUCSON 2019 FULLY LOADED صيانات توكيل,"EGP 970,000"
التترا HD ٢٠٢٠ اتوماتيك فاتحة سقف وطاره مالتي,"EGP 382,000"
أكتافيا A7 مو٢٠١٤ تاني فئه . skoda 2014,"EGP 540,000"
توسان الفئه السادسه الفئه قبل الاخيره 2020 صيانات توكيل,"EGP 975,000"
Fortuner 4000 CC 2023 2 year license,"EGP 2,400,000"
بيجو ٣٠١ اوتوماتيك ٢٠١٧ بحالة الزيرو عداد ١١٧ الف وصياناتى كلها توكيل,"EGP 244,000"
بيجو 206,"EGP 130,000"
باجيرو ٢٠٠٧,"EGP 695,000"
نيسان قشقاي بسعر تجاري تاني فئة فابريكا صيانات توكيل مالك مباشر,"EGP 725,000"
كروز 2016 أعلى فئه فبريكا بره وجوه,"EGP 350,000"
Mercedes Benz - C 180 - 2022,"EGP 2,700,000"
فيات تيبو 2021هتشباك أعلي فئة,"EGP 695,000"
"رينو ميجان موديل 2021
توب لاين اعلى فئه سجنتشر بلس كسر زيرو حرفيا","EGP 740,000"
Ford Fusion 2021 / 2000 cc,"EGP 1,250,000"
Opel Astra Cosmo Turbo 1.6 cc 180 HP,"EGP 440,000"
نيسان صني ٢٠١٨ اتوماتيك هاي لاين صوبر صالون,"EGP 247,000"
New Accent Sport,"EGP 220,000"
A200 AMG 2021,"EGP 1,800,000"
سكودا كودياك استلام فوري بارخص سعر فى مصر,"EGP 400,000"
ميكروباص تويوتا 2022,"EGP 1,550,000"
سيارة ايجار بالسائق هيونداي النترا ad بالسائق فقط,EGP 600
هيونداي اكسنت فابريكه بالكامل بره وجوه  حاله نادره,"EGP 293,000"
اوكتاڤيا فانتازيا 2012 تاني فئة لدي اوتو مفتاح لتجارة السيارات,"EGP 435,000"
جنط جيمس اصلى,"EGP 1,500"
هيوانداي MD بحاله الزيرو,"EGP 510,000"
كشاف مستعمل يحتاج للاصلاح,"EGP 3,500"
هيونداي توسان 2019 اعلي فئة بصمة لدي اوتو مفتاح لتجارة السيارات,"EGP 885,000"
كارسيت,EGP 350
عصا فتيس اوتوماتيك بالقعده ( ميتسوبيشي لانسر كريستاله ١٩٩٩),EGP 300
حاله نادرة رينو ستيب واى 2015 كسر زيرو عداد 34 الف فابريكة فيس ليفت,"EGP 390,000"
B M W ///M8 - Competition GranCoupé (F93)( 1 Of 13 ) - In the,"EGP 4,800,000"
بيجو ٥٠٠٨ اللور فيس لفت,"EGP 1,550,000"
"BMW G23 (4 Series) M///440i - 2022 
( x-Drive ) 
( Convertible )","EGP 2,200,000"
بروتون بريفي,"EGP 13,500"
رينو لوجان ٢٠١٣,"EGP 195,000"
كارسيت,EGP 500
مطلوب سياره للايجار الشهري,"EGP 6,000"
"B M W ////M5-Series - Competition (F90) 

• • Brand New 2023","EGP 3,800,000"
سكودا ١٩٩٩ A4 اتوماتيك ( ألماني ),"EGP 181,000"
رانجلر 2010,"EGP 560,000"
بيع عربيه,"EGP 680,000"
جي ام سي,"EGP 342,500"
طقم تيل فرامل تويوتا كورولا هاى كيو اصلى من الزمن الجميل,EGP 600
"B M W- G22 (4 Series) 430i ( M-Performance Kit ) 
( coupe )","EGP 1,850,000"
افيو ٢٠٠٨,"EGP 178,000"
نيسان صنى سوبر صالون فابريكا,"EGP 310,000"
"B M W -G22 (4 Series) 430i ( M-Performance Kit ) 
( Coupe )","EGP 1,850,000"
"BMW-G22 (4 Series) 420 ( M-Performance Kit ) 
( Coupe )","EGP 1,850,000"
سكودا فيليشيا فبريكا بالكامل,"EGP 75,000"
فرصة طلمبة مياة لانسر بومة كورى اصلى,EGP 500
شيفروليه N300,"EGP 285,000"
التجمع الخامس,"EGP 1,150"
بي واي دي فابريكة بي الكامل,"EGP 235,000"
بيع سياره هيونداي فيرنا موديل 2017,"EGP 225,000"
رادياتير اوتوماتيك بالغطاء للبيع,EGP 700
شيفورليه اوبترا ٢٠١٩ اعلى فئه,"EGP 345,000"
بيجو ٣٠٠٨ gt line ٣٤٠٠٠ كم - Peugeot 3008 2022,"EGP 1,400,000"
بيجو ٣٠٠٨ - Peugeot 3008 2022 gt line black pack,"EGP 1,500,000"
بيجو ٥٠٨ الور ٧٠٠٠ كم - Peugeot 508 2022,"EGP 1,200,000"
Mercedes GLA 200 Imported from Germany,"EGP 2,400,000"
هيونداي RB ثاني فئة للبيع كوري,"EGP 435,000"
"c180 , 2017 , avantgarde , all maintence done by the agency , fabrique","EGP 1,550,000"
رينو لوجان ٢٠١٨ فابريكا بالكامل وكامله كل حاجه لاتحتاج لاى مصروف نهائى,"EGP 188,000"
فورد فيوچن Ford Fusion,"EGP 650,000"
